Var1	Var2	value
CUD	TAG_CPD	-0.1445
MDD	TAG_CPD	0.0778
OCD	TAG_CPD	0.0801
OD	TAG_CPD	0.3115
PTSD	TAG_CPD	0.2624
SCZ	TAG_CPD	0.0317
TAG_CPD	TAG_CPD	1
TS	TAG_CPD	0.095
ADHD	TS	0.2373
ALC	TS	0.0449
AN	TS	-0.1605
ANX	TS	0.0072
ASD	TS	0.1219
AUDIT	TS	0.1077
BIP	TS	0.071
CUD	TS	-0.0838
MDD	TS	0.1778
OCD	TS	0.4589
OD	TS	-0.0507
PTSD	TS	-0.0343
SCZ	TS	0.0653
TAG_CPD	TS	0.095
TS	TS	1
